ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:48489,record identifiers,https://data.letterenhuis.be/ark:/24970/0c730887-963c-55a6-b23f-83b31bab1f00,object identifier,Affiches,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7b446602-1526-4430-a122-ff45cf4f9e19"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2a822dc6-3e33-41fb-a4ab-cae36f07d1d8"", ""inverseOntologyProperty"": """"}]"
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.0,2122,In Copyright,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20071004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20071030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Monty / oktober 2007 / <a href=""http://www.monty.be"">www.monty.be</a></p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,2uu7-10-04,2uu7-10-30,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,,,,,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_LegacyImages,,,,,,,,lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/4_/48_/tg_lhps_48489.tif,image high resolution,,,,,,,,,,,,,d:lh:238475,e73_LegacyImages,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000044366,referentienummer,False,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:48489,brocade id,False,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:48489/N,brocade url,False,,,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""72ce2b96-878f-55b4-a8bc-8c7a4ae651e2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c8a79ef9-06d9-4d37-88ac-12bcef5bd262"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_MaterialRecords,2,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8edd9274-10e4-5ddd-b1a3-cc73e07fa63b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f1b8eaa-15fe-461b-8fed-15b934089775"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_MaterialRecords,3,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8f04819b-5db1-50c7-87e9-4375e423c2fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""37089f3b-cc81-43a5-8690-c0d07abec8c1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_Titles,,,au::110776,,,,lhps,lhps,Affiche,ce8c2997-db43-55cd-ae9f-8e102a8224fd,kw,,au::110776:1,au::110776g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/11853032"",""au::110776"",""au::110776:1"",""ark:/83110/x0/ce8c2997-db43-55cd-ae9f-8e102a8224fd"",""Gunther Lesage"",""ark:/83110/x0/153f6985-c9b5-5cc6-9265-c16f5d87c13d""],""name"":""Gunther Lesage"",""ark"":""ark:/83110/x0/153f6985-c9b5-5cc6-9265-c16f5d87c13d"",""uri"":""/agents/people/11853032"",""id"":""au::110776:1"",""resourceArk"":""ark:/83110/x0/ce8c2997-db43-55cd-ae9f-8e102a8224fd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce8c2997-db43-55cd-ae9f-8e102a8224fd,,,,,,,,,,,,
0c730887-963c-55a6-b23f-83b31bab1f00,tg:lhps:48489,e73_Titles,,,au::48930,,,,lhps,lhps,Affiche,da06d135-fa29-53ae-8171-e07f32485989,kw,,au::48930:1,au::48930g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/5235510"",""au::48930"",""au::48930:1"",""ark:/83110/x0/da06d135-fa29-53ae-8171-e07f32485989"",""Alexander Baervoets"",""ark:/83110/x0/e2d21f90-60c6-5491-b991-4360cfe6f07c""],""name"":""Alexander Baervoets"",""ark"":""ark:/83110/x0/e2d21f90-60c6-5491-b991-4360cfe6f07c"",""uri"":""/agents/people/5235510"",""id"":""au::48930:1"",""resourceArk"":""ark:/83110/x0/da06d135-fa29-53ae-8171-e07f32485989"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/da06d135-fa29-53ae-8171-e07f32485989,,,,,,,,,,,,
