ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:62932,record identifiers,https://data.letterenhuis.be/ark:/24970/1823e48f-f440-5d8b-b1e1-77864ede94d0,object identifier,Affiches,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""593682b5-5525-415c-b9b6-5cc7846af678"", ""ontologyProperty"": """", ""resourceXresourceId"": ""543f10c0-d792-4fcf-8693-4b3223130a6d"", ""inverseOntologyProperty"": """"}]"
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,2120,In Copyright,
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20050305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20050423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Als ma van huis is / de schitterende komedie van Félicien Marceau / in een bewerking en regie van Frans Van de Velde / met: Myriam Verheye, Sonja Vandenbergh, Rita Van de Velde, Luc Brauwers, Eddy Hollants, Bart Staelkens, Firmin Troukens, Frans Van de Velde / Cafétheater de Peerdestal van Napoleon</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,2uu5-03-05,2uu5-04-23,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,tg:lhps:62932_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,,,,,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000058724,referentienummer,False,,,,,,,,,,,,,,,,,
1823e48f-f440-5d8b-b1e1-77864ede94d0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:62932,brocade id,False,,,,,,,,,,,,,,,,,
