ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:23485,record identifiers,https://data.letterenhuis.be/ark:/24970/241746aa-5db1-5e11-b46a-c81d51a6552b,object identifier,Affiches,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_AnnotationsImmaterial,1,note.lhalg,"<p>ontwerp: Karel F. Treebos</p>
","<p>ontwerp: Karel F. Treebos</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4a8e5273-bc08-4b09-9207-5bd80548f52a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""647915a1-5709-4d8c-a52d-3c9a4a5d20f4"", ""inverseOntologyProperty"": """"}]"
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0,2098,In Copyright,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19830527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19830730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>De Nederlandsche Leeuw<br />
Rijksmuseum Meermanno-Westreenianum</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1983-05-27,1983-07-30,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,tg:lhps:23485_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Den Haag,,,,,,'s-Gravenhage (Zuid-Holland),au::105203,f7a1eaca-157e-5e81-a2b3-2edf08020b5d,au::105203,f7a1eaca-157e-5e81-a2b3-2edf08020b5d,,au::105203,remarks,Nederlands,"dlod={""name"":""'s-Gravenhage (Zuid-Holland)"",""ark"":""ark:/83110/x0/f7a1eaca-157e-5e81-a2b3-2edf08020b5d"",""uri"":""/subjects/11256721"",""id"":""au::105203"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
241746aa-5db1-5e11-b46a-c81d51a6552b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000022830,referentienummer,False,,,,,,,,,,,,,,,,,
