ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:32230,record identifiers,https://data.letterenhuis.be/ark:/24970/4605e87c-e42f-5c7a-a894-2ae945e0b40e,object identifier,Affiches,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Reclame voor het Amerikaanse tijdschrift &quot;The Echo</p>
<p>Hoogdruk in twee kleuren: rood en zwart; gesign. m.b. in de tekening &quot;Bradley&quot;</p>
<p>pub: Das frühe Plakat, I, p. 48, nr. 166</p>
","<p>Reclame voor het Amerikaanse tijdschrift &quot;The Echo</p>
<p>Hoogdruk in twee kleuren: rood en zwart; gesign. m.b. in de tekening &quot;Bradley&quot;</p>
<p>pub: Das frühe Plakat, I, p. 48, nr. 166</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""09a30e8d-aace-4f34-91f1-ee67767b631e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7361860d-24b9-4d10-a6e0-8f0b9b336026"", ""inverseOntologyProperty"": """"}]"
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.0,2011,No Known Copyright,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,18960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The Echo / America's foremost Pictoral Fortnightly / is now a New York Paper / New York People should read it</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1896,,circa,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000031499,referentienummer,False,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFFICHE\32230a.tif,commentaar gebruiker,False,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:32230,brocade id,False,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:32230/N,brocade url,False,,,,,,,,,,,,,,,,,
4605e87c-e42f-5c7a-a894-2ae945e0b40e,tg:lhps:32230,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cec92fc7-b033-5926-86fb-2d7591cacc70"", ""ontologyProperty"": """", ""resourceXresourceId"": ""66801d23-4d6b-4fed-b78d-597b001122d6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
