ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:522,record identifiers,https://data.letterenhuis.be/ark:/24970/538425d3-e7e9-555b-bf44-6a75ec7bf5eb,object identifier,Affiches,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e11b604-6acd-4044-8ee3-f5b14568005b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""43a770d5-27a8-46f7-8aec-3e28961de098"", ""inverseOntologyProperty"": """"}]"
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.0,2026,In Copyright,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19111022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Association Libérale et Constitutionnelle d'Anvers / Kiezing van 22 October 1911 voor de Toegevoegde Raadsleden van den Gemeenteraad / Nijverheids-Bazen / Lijst der Kandidaten...[2 lijsten] / Onderrichtingen voor den kiezer...</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1911-10-22,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,tg:lhps:522_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000000517,referentienummer,False,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:522,brocade id,False,,,,,,,,,,,,,,,,,
538425d3-e7e9-555b-bf44-6a75ec7bf5eb,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:522/N,brocade url,False,,,,,,,,,,,,,,,,,
