ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:50206,record identifiers,https://data.letterenhuis.be/ark:/24970/60704df0-421a-54c7-89ca-c8a7c34c05de,object identifier,Affiches,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""84b6948f-e4db-4140-a718-383e28219643"", ""ontologyProperty"": """", ""resourceXresourceId"": ""43582779-3f79-4e93-aeb5-3232c8dd1c3a"", ""inverseOntologyProperty"": """"}]"
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,2120,In Copyright,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20050205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,20050417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Natuur en bezieling / Jan de Smedt / Museum Hof van Busleyden</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,2uu5-02-05,2uu5-04-17,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100231,8edb9f04-ad85-5c4a-aa2c-b4e509be84f2,,,,,,,au::100231,8edb9f04-ad85-5c4a-aa2c-b4e509be84f2,,au::100231,remarks,Nederlands,"dlod={""name"":""Mechelen (Mechelen)"",""ark"":""ark:/83110/x0/8edb9f04-ad85-5c4a-aa2c-b4e509be84f2"",""uri"":""/subjects/10724717"",""id"":""au::100231"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000046072,referentienummer,False,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:50206,brocade id,False,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:50206/N,brocade url,False,,,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""db8a40aa-facb-52cc-8296-a0d40b73ee81"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77b7cfa0-a85c-402e-8c59-0b0adee575d2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_Titles,,,au::49904,,,,lhps,lhps,Affiche,6fec5a34-d95c-5b7c-ba4c-f0a2afa2de27,kw,,au::49904:1,au::49904g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/5339728"",""au::49904"",""au::49904:1"",""ark:/83110/x0/6fec5a34-d95c-5b7c-ba4c-f0a2afa2de27"",""Stedelijk Museum Hof van Busleyden"",""ark:/83110/x0/ec09da91-055a-567a-977e-48a880cc7e02""],""name"":""Stedelijk Museum Hof van Busleyden"",""ark"":""ark:/83110/x0/ec09da91-055a-567a-977e-48a880cc7e02"",""uri"":""/agents/corporate_entities/5339728"",""id"":""au::49904:1"",""resourceArk"":""ark:/83110/x0/6fec5a34-d95c-5b7c-ba4c-f0a2afa2de27"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6fec5a34-d95c-5b7c-ba4c-f0a2afa2de27,,,,,,,,,,,,
60704df0-421a-54c7-89ca-c8a7c34c05de,tg:lhps:50206,e73_Titles,,,au::17099,,,,lhps,lhps,Affiche,07120fda-1364-52ca-856a-ff955a1cdd4f,kw,,au::17099:1,au::17099g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1829593"",""au::17099"",""au::17099:1"",""ark:/83110/x0/07120fda-1364-52ca-856a-ff955a1cdd4f"",""Jan de Smedt"",""ark:/83110/x0/37fcfc4a-d6d7-56cb-858d-474b86265346""],""name"":""Jan de Smedt"",""ark"":""ark:/83110/x0/37fcfc4a-d6d7-56cb-858d-474b86265346"",""uri"":""/agents/people/1829593"",""id"":""au::17099:1"",""resourceArk"":""ark:/83110/x0/07120fda-1364-52ca-856a-ff955a1cdd4f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/07120fda-1364-52ca-856a-ff955a1cdd4f,,,,,,,,,,,,
