ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:29980,record identifiers,https://data.letterenhuis.be/ark:/24970/6e29a95c-c750-5c47-894b-a03ab7f65122,object identifier,Affiches,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Oude nummering Volkskunde: 93.21.216</p>
","<p>Oude nummering Volkskunde: 93.21.216</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f343d3e8-c1df-4d0c-97cb-4ce7cd020fd6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ef5b3529-9ac9-4542-a837-56dab3ce5373"", ""inverseOntologyProperty"": """"}]"
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.0,2061,In Copyright,
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Medeburgers,<br />
Gij hebt het grootsch gezien en voor een groote partij gestemd.<br />
Gij hebt de Christelijke Volkspartij ter zege gevoerd....<br />
[Provincieverkiezingen]</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1946,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000029287,referentienummer,False,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:29980,brocade id,False,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:29980/N,brocade url,False,,,,,,,,,,,,,,,,,
6e29a95c-c750-5c47-894b-a03ab7f65122,tg:lhps:29980,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2465ecd2-fe62-557b-9a03-d47911a313c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""244ee44c-eb67-482f-94ee-5739964b1063"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
