ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:27684,record identifiers,https://data.letterenhuis.be/ark:/24970/89cabd4d-002e-58a2-8506-d5bf2d3e67ee,object identifier,Affiches,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_AnnotationsImmaterial,1,note.lhalg,"<p>roux-séguela</p>
","<p>roux-séguela</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""20ff07cc-5aad-4559-9d44-cde9305370d6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f968e351-6ab5-49e3-abcc-3a6e94e554b1"", ""inverseOntologyProperty"": """"}]"
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,2084,In Copyright,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19690726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19691015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Fondation Port-Barcarès</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1969-07-26,1969-10-15,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Port-Barcarès,,,,,,,,,,,au::102921,au::102921,remarks,Nederlands,"dlod={""name"":""Languedoc-Roussillon (Frankrijk)"",""ark"":""ark:/83110/x0/aa713c86-5cb3-540a-88d4-0bc7d1adc7c0"",""uri"":""/subjects/11012547"",""id"":""au::102921"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000027003,referentienummer,False,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:27684,brocade id,False,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:27684/N,brocade url,False,,,,,,,,,,,,,,,,,
89cabd4d-002e-58a2-8506-d5bf2d3e67ee,tg:lhps:27684,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""90bcdddd-2adc-5165-9a3f-d7f061e6798f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d04e6c60-0288-4c2f-9e8c-88375af0fb67"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
