ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:5281,record identifiers,https://data.letterenhuis.be/ark:/24970/9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,object identifier,Affiches,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""194659a3-c5fa-44f0-9396-2017bd833649"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3cb7d239-dd69-417f-ad95-a50bd7bf44a1"", ""inverseOntologyProperty"": """"}]"
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.0,2102,In Copyright,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>19de Biënnale voor Beeldhouwkunst. / Steel - Sculpture. / International Symposion Kleinewefers.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1987,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,2.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Krefeld,,,Krefeld (Kreisfreie Stadt Krefeld),au::102254,780a418b-5590-5f84-8f6d-64a482e30340,Krefeld (Kreisfreie Stadt Krefeld),au::102254,780a418b-5590-5f84-8f6d-64a482e30340,au::102254,780a418b-5590-5f84-8f6d-64a482e30340,,au::102254,remarks,Nederlands,"dlod={""name"":""Krefeld (Kreisfreie Stadt Krefeld)"",""ark"":""ark:/83110/x0/780a418b-5590-5f84-8f6d-64a482e30340"",""uri"":""/subjects/10941178"",""id"":""au::102254"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,4.0,Yorkshire,,,,,,North Yorkshire (Engeland),au::106068,59bfc496-3e69-5338-97c1-c1c3b184d317,au::106068,59bfc496-3e69-5338-97c1-c1c3b184d317,,au::106068,remarks,Nederlands,"dlod={""name"":""North Yorkshire (Engeland)"",""ark"":""ark:/83110/x0/59bfc496-3e69-5338-97c1-c1c3b184d317"",""uri"":""/subjects/11349276"",""id"":""au::106068"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,3.0,Umea,,,,,,Umeå (Umeå Kommun),au::106589,02c78f56-32a9-5793-956c-4ef17ff68858,au::106589,02c78f56-32a9-5793-956c-4ef17ff68858,,au::106589,remarks,Nederlands,"dlod={""name"":""Umeå (Umeå Kommun)"",""ark"":""ark:/83110/x0/02c78f56-32a9-5793-956c-4ef17ff68858"",""uri"":""/subjects/11405023"",""id"":""au::106589"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000005163,referentienummer,False,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:5281,brocade id,False,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:5281/N,brocade url,False,,,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""50ab5c52-b447-5f4c-911a-f563e83ef7e8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""83726f3d-f192-4263-9f96-77875b38a50e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
9b77eb0e-239e-5bcf-afdb-15f7e50f05c9,tg:lhps:5281,e73_Titles,,,au::14116,,,,lhps,lhps,Affiche,60945763-9424-511c-a353-859273a4a7d0,kw,,au::14116:1,au::14116g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1510412"",""au::14116"",""au::14116:1"",""ark:/83110/x0/60945763-9424-511c-a353-859273a4a7d0"",""Openluchtmuseum der Beeldhouwkunst Middelheim"",""ark:/83110/x0/36d701f0-c830-51f1-9204-59effb62edf2""],""name"":""Openluchtmuseum der Beeldhouwkunst Middelheim"",""ark"":""ark:/83110/x0/36d701f0-c830-51f1-9204-59effb62edf2"",""uri"":""/agents/corporate_entities/1510412"",""id"":""au::14116:1"",""resourceArk"":""ark:/83110/x0/60945763-9424-511c-a353-859273a4a7d0"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/60945763-9424-511c-a353-859273a4a7d0,,,,,,,,,,,,
