ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:56081,record identifiers,https://data.letterenhuis.be/ark:/24970/b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,object identifier,Affiches,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4f733b68-227b-481c-bc2e-bac37bf2a4f4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""392b27a5-64ad-4e8c-8366-e43def4f7740"", ""inverseOntologyProperty"": """"}]"
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>De Gans en zijn Broer Geluk / Bart Moeyaert &amp; Gerda Dendooven / In het kader van Tinteltenen bij De Gans en zijn Broer van Luxemburg</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000051880,referentienummer,False,,,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:56081,brocade id,False,,,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:56081/N,brocade url,False,,,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cf9c4e97-b5d6-5334-84c5-27479b62b09e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ff5f37df-6144-4bba-8346-9f5803191d31"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,e73_Titles,,,au::5315,,,,lhps,lhps,Affiche,666507c5-ef89-5637-b737-bd0f533149e8,ds,designers,au::5315:1,au::5315g:1,,"dlod={""suggest"":[""/agents/people/568705"",""au::5315"",""au::5315:1"",""ark:/83110/x0/666507c5-ef89-5637-b737-bd0f533149e8"",""Gerda Dendooven"",""ark:/83110/x0/d0e9113e-68fb-5d42-98b0-794c9488d952""],""name"":""Gerda Dendooven"",""ark"":""ark:/83110/x0/d0e9113e-68fb-5d42-98b0-794c9488d952"",""uri"":""/agents/people/568705"",""id"":""au::5315:1"",""resourceArk"":""ark:/83110/x0/666507c5-ef89-5637-b737-bd0f533149e8"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/666507c5-ef89-5637-b737-bd0f533149e8,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2f4e0e1-ad31-53e5-a591-4e0797cb54b8,tg:lhps:56081,e73_Titles,,,au::48815,,,,lhps,lhps,Affiche,493262e7-052a-50ce-81ba-71f3620fe79a,kw,,au::48815:1,au::48815g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/5223205"",""au::48815"",""au::48815:1"",""ark:/83110/x0/493262e7-052a-50ce-81ba-71f3620fe79a"",""Toneelgezelschap luxemburg"",""ark:/83110/x0/e72760b1-ab24-5f54-96b1-fb3000a675c5""],""name"":""Toneelgezelschap luxemburg"",""ark"":""ark:/83110/x0/e72760b1-ab24-5f54-96b1-fb3000a675c5"",""uri"":""/agents/corporate_entities/5223205"",""id"":""au::48815:1"",""resourceArk"":""ark:/83110/x0/493262e7-052a-50ce-81ba-71f3620fe79a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/493262e7-052a-50ce-81ba-71f3620fe79a,,,,,,,,,,,,
