ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:7653,record identifiers,https://data.letterenhuis.be/ark:/24970/b6f30d5f-a8c5-5001-8669-3830985bf02b,object identifier,Affiches,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3223c286-663f-42c4-84cd-c20799ee4cd4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""52753ac6-01e9-4932-8d16-0b0807f3fb04"", ""inverseOntologyProperty"": """"}]"
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,2091,In Copyright,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19761023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19761118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Akwarellen en Olieverfschilderijen<br />
Karl Heeremans<br />
Galerij Hendrik de Braekeleer.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1976-10-23,1976-11-18,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,,Antwerpen (Antwerpen),au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,Antwerpen (Arrondissement Antwerpen),au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100139,5eba8578-9f35-5e2e-a844-9bfdea6f5119,au::100141,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_LegacyImages,,,,,,,,lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/7_/76_/tg_lhps_7653.jpg,image high resolution,,,,,,,,,,,,,d:lh:213416,e73_LegacyImages,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000007519,referentienummer,False,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:7653,brocade id,False,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:7653/N,brocade url,False,,,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c90224b4-ab14-5d1d-870e-a3c39be22e4b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""97bcd69e-788f-4d94-8b56-b061d8213a85"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
b6f30d5f-a8c5-5001-8669-3830985bf02b,tg:lhps:7653,e73_Titles,,,au::8493,,,,lhps,lhps,Affiche,28b049c5-7d22-56fc-916f-9a9faf26b555,kw,,au::8493:1,au::8493g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/908751"",""au::8493"",""au::8493:1"",""ark:/83110/x0/28b049c5-7d22-56fc-916f-9a9faf26b555"",""Karl Heeremans"",""ark:/83110/x0/0b066c9f-0fd6-5f47-8fd2-758a93a2d7e4""],""name"":""Karl Heeremans"",""ark"":""ark:/83110/x0/0b066c9f-0fd6-5f47-8fd2-758a93a2d7e4"",""uri"":""/agents/people/908751"",""id"":""au::8493:1"",""resourceArk"":""ark:/83110/x0/28b049c5-7d22-56fc-916f-9a9faf26b555"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/28b049c5-7d22-56fc-916f-9a9faf26b555,,,,,,,,,,,,
