ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:40448,record identifiers,https://data.letterenhuis.be/ark:/24970/bc6a88f6-5d89-5c24-b291-3a41faf5ba55,object identifier,Affiches,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7e2ef23d-0bc2-4082-a99e-d7febfb701f6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f84c4a58-823a-40ac-94f1-617f2dd37e77"", ""inverseOntologyProperty"": """"}]"
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.0,2102,In Copyright,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19870301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19870916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Met Verhaeren op wandel / Provinciaal Museum Emile Verhaeren</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1987-03-01,1987-09-16,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,tg:lhps:40448_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Sint-Amands,,,,,,Sint-Amands (Puurs-Sint-Amands),au::100247,14e937d0-c771-594c-8f3d-628afc3bd1f9,au::100247,14e937d0-c771-594c-8f3d-628afc3bd1f9,,au::100247,remarks,Nederlands,"dlod={""name"":""Sint-Amands (Puurs-Sint-Amands)"",""ark"":""ark:/83110/x0/14e937d0-c771-594c-8f3d-628afc3bd1f9"",""uri"":""/subjects/10726429"",""id"":""au::100247"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000036446,referentienummer,False,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:40448,brocade id,False,,,,,,,,,,,,,,,,,
bc6a88f6-5d89-5c24-b291-3a41faf5ba55,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:40448/N,brocade url,False,,,,,,,,,,,,,,,,,
