ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:54379,record identifiers,https://data.letterenhuis.be/ark:/24970/bd0a5df3-17b2-5411-be36-9963b935e40e,object identifier,Affiches,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cf6ccb19-ee7d-400a-a588-ce251dc21a77"", ""ontologyProperty"": """", ""resourceXresourceId"": ""60396a09-d1b6-4f33-8eef-ae355b586d94"", ""inverseOntologyProperty"": """"}]"
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,2109,In Copyright,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19940512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Pajo pop / Oetingen Gooik / A waiting friday / De mens / Betty goes green / The Godfathers / The Specials</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1994-05-12,,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100816,214d2b08-54dd-5d7e-9a9e-75ef8942e7e8,,,,,,,au::100816,214d2b08-54dd-5d7e-9a9e-75ef8942e7e8,,au::100816,remarks,Nederlands,"dlod={""name"":""Oetingen (Gooik)"",""ark"":""ark:/83110/x0/214d2b08-54dd-5d7e-9a9e-75ef8942e7e8"",""uri"":""/subjects/10787312"",""id"":""au::100816"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000050185,referentienummer,False,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:54379,brocade id,False,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:54379/N,brocade url,False,,,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7c65a1cc-8608-5d00-ae0f-2263a7870c04"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4b281f36-2b9f-4cf3-a6c5-30f4d57c6503"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
bd0a5df3-17b2-5411-be36-9963b935e40e,tg:lhps:54379,e73_Titles,,,au::1456,,,,lhps,lhps,Affiche,715b88a8-df78-57cf-b3a8-1ca0d02503dd,kw,,au::1456:1,au::1456g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""name"":""Belgische Pop"",""ark"":""ark:/83110/x0/715b88a8-df78-57cf-b3a8-1ca0d02503dd"",""uri"":""/subjects/155792"",""id"":""au::1456"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""topic""}",ark:/83110/x0/715b88a8-df78-57cf-b3a8-1ca0d02503dd,,,,,,,,,,,,
