ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:48164,record identifiers,https://data.letterenhuis.be/ark:/24970/e5d04b2d-36b7-5b97-846c-83da1a4a8238,object identifier,Affiches,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""58a33689-0768-4fcb-8af8-bdfcef704fe8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e17587a9-cce8-446e-aee1-3457ca85fc7b"", ""inverseOntologyProperty"": """"}]"
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.0,2099,In Copyright,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19840203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19840318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Musee d' Ixelles / Felix Vallotton / Graveur / Museum van Elsene</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1984-02-03,1984-03-18,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,,au::100108,8e29025b-1c0f-524d-a9ea-af4663e0d4ee,,,,,,,au::100108,8e29025b-1c0f-524d-a9ea-af4663e0d4ee,,au::100108,remarks,Nederlands,"dlod={""name"":""Elsene (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/8e29025b-1c0f-524d-a9ea-af4663e0d4ee"",""uri"":""/subjects/10711556"",""id"":""au::100108"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_LegacyImages,,,,,,,,lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/4_/48_/tg_lhps_48164.tif,image high resolution,,,,,,,,,,,,,d:lh:236500,e73_LegacyImages,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000044043,referentienummer,False,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:48164,brocade id,False,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:48164/N,brocade url,False,,,,,,,,,,,,,,,,,
e5d04b2d-36b7-5b97-846c-83da1a4a8238,tg:lhps:48164,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a416f637-2138-58f1-9a49-9dfab3aae5c9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""972a4773-3c0f-4547-a94a-b476a8e097eb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
