ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Creation Time Span Source Note,Documented Event Type,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Documented Event Place Name Widget,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:13635,record identifiers,https://data.letterenhuis.be/ark:/24970/f26d4513-29b2-5b4e-8505-43385387f5de,object identifier,Affiches,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9a22f57c-2781-4df9-ac35-5e129d81c515"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3f0b4840-0860-4f60-bb2c-4b810ce8569a"", ""inverseOntologyProperty"": """"}]"
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,2080,In Copyright,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19650603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19650628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>KVS / Louis Verneuil / De minnaar van mevr. Vidal / Nand Buyl / dekor: Julien van Cappellen</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,,1965-06-03,1965-06-28,,,,,,,,,,related events (relationship indicator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635_#1,e73_DocumentedEventsPlaces_lhps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Brussel,,,,,,Brussel (Brussel-Hoofdstad),au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,au::100105,99596b2b-2b42-50f2-8ec3-d578638b6d71,,au::100105,remarks,Nederlands,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000013151,referentienummer,False,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:13635,brocade id,False,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:13635/N,brocade url,False,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""72f108cb-a43d-520e-ba06-09f07605c92d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""189c4095-c833-4add-8b65-4dc95c4d15fe"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_Titles,,,au::19428,,,,lhps,lhps,Affiche,e49533b3-5f74-527f-bd37-70f469c6450c,ds,designers,au::19428:1,au::19428g:1,,"dlod={""suggest"":[""/agents/people/2078796"",""au::19428"",""au::19428:1"",""ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c"",""Juliaan Verelst"",""ark:/83110/x0/21a9d8a3-e9a3-57c9-b85b-2785139b64d2""],""name"":""Juliaan Verelst"",""ark"":""ark:/83110/x0/21a9d8a3-e9a3-57c9-b85b-2785139b64d2"",""uri"":""/agents/people/2078796"",""id"":""au::19428:1"",""resourceArk"":""ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f26d4513-29b2-5b4e-8505-43385387f5de,tg:lhps:13635,e73_Titles,,,au::10543,,,,lhps,lhps,Affiche,072e3d36-d810-51bb-ac98-88f6508c002b,kw,,au::10543:1,au::10543g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/1128101"",""au::10543"",""au::10543:1"",""ark:/83110/x0/072e3d36-d810-51bb-ac98-88f6508c002b"",""Koninklijke Vlaamse Schouwburg"",""ark:/83110/x0/723cfdcd-1d7a-54d7-8b1f-88dc94fc0d76""],""name"":""Koninklijke Vlaamse Schouwburg"",""ark"":""ark:/83110/x0/723cfdcd-1d7a-54d7-8b1f-88dc94fc0d76"",""uri"":""/agents/corporate_entities/1128101"",""id"":""au::10543:1"",""resourceArk"":""ark:/83110/x0/072e3d36-d810-51bb-ac98-88f6508c002b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/072e3d36-d810-51bb-ac98-88f6508c002b,,,,,,,,,,,,
