ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Creation Actor Role,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Event Start Date,Event End Date,Event Start Date Type,Event End Date Type,Event Start Date Note,Event Start Date Note Type,Event Start Date Note Language,Event End Date Note,Event End Date Note Type,Event End Date Note Language,Documented Event Type,Creation Time Span Source Note,Description,Description Type,Description Language,db,Documented Event Place Order,source_place_name,source_au_uuid,match_id,record_id,Documented Event Place Name Widget,Documented Event Place Note,Documented Event Place Note Language,Documented Event Place Note Type,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:42847,https://data.letterenhuis.be/ark:/24970/f98e094c-3cd8-5dc4-b12c-08f52a894ca0,Affiches,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,2108,In Copyright
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,19930312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choreografie: Eric raeves  
Muziek: Piet Slangen  
Hippos  
CCB",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_DocumentedEvents,,,,,,,,,,,,,,,,,,1993-03-12,,,,,,,,,,related events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847_#1,e73_DocumentedEventsPlaces_lhps,,place_csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lhps,1.0,Antwerpen,,au::100141:1,tg:lhps:42847_#1,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/ps/000038786,referentienummer,False,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhps:42847,brocade id,False,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhps:42847/N,brocade url,False,,,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4367e797-89f8-5d03-963f-fdd65d9d2772"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6b6425b-9acc-4df4-aae4-57d890b8ebd6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,
f98e094c-3cd8-5dc4-b12c-08f52a894ca0,tg:lhps:42847,e73_OriginalBrocade,,,au::4712,,,,lhps,,,55f0942b-7552-5985-b4ea-fb30f716519f,kw,,au::4712:1,au::4712g:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/corporate_entities/504184"",""au::4712"",""au::4712:1"",""ark:/83110/x0/55f0942b-7552-5985-b4ea-fb30f716519f"",""Cultureel Centrum Berchem""],""name"":""Cultureel Centrum Berchem"",""ark"":""ark:/83110/x0/55f0942b-7552-5985-b4ea-fb30f716519f"",""uri"":""/agents/corporate_entities/504184"",""id"":""au::4712:1"",""isCapacity"":false}",ark:/83110/x0/55f0942b-7552-5985-b4ea-fb30f716519f,agent,,,,,,,,,
