ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:22804_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,object identifier,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_AcquisitionNumbers,1,,,,225229/130,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,"83,5 x 57",,,,,,,,,,,,"83,5 x 57 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,835,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,570,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:22804_#1,225229/130,K 733 / A,23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6cdd8de8-01db-534e-be49-9c4a5d581578,au::17123,dr,printers (people),,,,,,,,,,,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.0,permission required,,,,,,,,
23ccb6e5-6e2a-57b1-a8f9-9e645937cd3a,tg:lhps:22804_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HdR8gWKO7pDWrWXDV69MGqdo,lhps,https://dams.antwerpen.be/iiif/HdR8gWKO7pDWrWXDV69MGqdo/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/HdR8gWKO7pDWrWXDV69MGqdo,DAMS Image,lhps,Affiche
