ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:15348_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/30dbbad2-2d82-52f3-8360-db326fd1f02f,object identifier,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_AcquisitionNumbers,1,,,,215810,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,61 x 45,,,,,,,,,,,,"61 x 45 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,610,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,450,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:15348_#1,215810,T 16123 / A,30dbbad2-2d82-52f3-8360-db326fd1f02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d233bfa-64ca-523b-946d-deae636c4200,au::17209,dr,printers (people),,,,,,,,,,,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,permission required,,,,,,,,
30dbbad2-2d82-52f3-8360-db326fd1f02f,tg:lhps:15348_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1VSmelCcKaHSB4lYSdSU2Tk,lhps,https://dams.antwerpen.be/iiif/t1VSmelCcKaHSB4lYSdSU2Tk/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/t1VSmelCcKaHSB4lYSdSU2Tk,DAMS Image,lhps,Affiche
