ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:8768_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/77d1984d-8b2b-5691-bd9b-80fc72828b2f,object identifier,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_AcquisitionNumbers,1,,,,116726,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,42 x 29,,,,,,,,,,,,"42 x 29 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,420,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,290,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:8768_#1,116726,G 605 / A,77d1984d-8b2b-5691-bd9b-80fc72828b2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42c61c56-7fb4-5bdd-b955-9c0335fe03da,au::47521,dr,printers (people),,,,,,,,,,,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.0,permission required,,,,,,,,
77d1984d-8b2b-5691-bd9b-80fc72828b2f,tg:lhps:8768_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K1hPGrcdebfjGOMXSsGlkqrb,lhps,https://dams.antwerpen.be/iiif/K1hPGrcdebfjGOMXSsGlkqrb/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/K1hPGrcdebfjGOMXSsGlkqrb,DAMS Image,lhps,Affiche
