ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Source Note,Volgnummer,Warehouse Location (begin),Source Note Type,Source Note Language,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhps:5170_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/9b31fd4a-53ad-582d-833d-b76b41290c8b,object identifier,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_AcquisitionNumbers,1,,,,238739,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatps,56 x 44,,,,,,,,,,,,"56 x 44 - height, width, kenmerken.lhformatps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,560,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_Dimensions,,,,,,,kenmerken.lhformatps,,,,,,,,,,440,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,lhps,tg:lhps:5170_#1,238739,M 652 / A,9b31fd4a-53ad-582d-833d-b76b41290c8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posters,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5542a226-5c27-571e-a07d-4cd76fe09dd1,au::45764,dr,printers (people),,,,,,,,,,,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,permission required,,,,,,,,
9b31fd4a-53ad-582d-833d-b76b41290c8b,tg:lhps:5170_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i2OljJWVmpSSX7BxpjX6qHIK,lhps,https://dams.antwerpen.be/iiif/i2OljJWVmpSSX7BxpjX6qHIK/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/i2OljJWVmpSSX7BxpjX6qHIK,DAMS Image,lhps,Affiche
