ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:127036,record identifiers,https://data.letterenhuis.be/ark:/24970/05b25c8d-2e64-55ca-b6d0-9f6d3d943972,object identifier,Brieven,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""89621886-d69d-4e33-a23f-c83c0df39f77"", ""ontologyProperty"": """", ""resourceXresourceId"": ""78d46070-b042-4e11-95aa-1e5d8d1da6aa"", ""inverseOntologyProperty"": """"}]"
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0,2047,In Copyright,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19320108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1932-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000119548,referentienummer,False,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:127036,brocade id,False,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:127036/N,brocade url,False,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""630e057a-10e8-5cf7-ad0d-3430541815fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""652b4d6f-0ebb-4a78-91b7-7a1537b2caa9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_Titles,,,au::16147,,,,lhbr,lhbr,Brief,3f741217-7528-55ff-a946-2cc3a8fa6086,bs,,au::16147:1,au::16147g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1727729"",""au::16147"",""au::16147:1"",""ark:/83110/x0/3f741217-7528-55ff-a946-2cc3a8fa6086"",""Raphaël Rubbrecht"",""ark:/83110/x0/a5ea49a0-7843-5c3c-a509-a2150ccd3a37""],""name"":""Raphaël Rubbrecht"",""ark"":""ark:/83110/x0/a5ea49a0-7843-5c3c-a509-a2150ccd3a37"",""uri"":""/agents/people/1727729"",""id"":""au::16147:1"",""resourceArk"":""ark:/83110/x0/3f741217-7528-55ff-a946-2cc3a8fa6086"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3f741217-7528-55ff-a946-2cc3a8fa6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05b25c8d-2e64-55ca-b6d0-9f6d3d943972,tg:lhbr:127036,e73_Titles,,,au::13267,,,,lhbr,lhbr,Brief,1f47955c-2a10-593c-9076-85734674c9be,co,,au::13267:1,au::13267g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1419569"",""au::13267"",""au::13267:1"",""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""Jozef Muls"",""ark:/83110/x0/074ebcba-1f8d-52f6-9563-6092874598dc""],""name"":""Jozef Muls"",""ark"":""ark:/83110/x0/074ebcba-1f8d-52f6-9563-6092874598dc"",""uri"":""/agents/people/1419569"",""id"":""au::13267:1"",""resourceArk"":""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
