ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:14215,record identifiers,https://data.letterenhuis.be/ark:/24970/0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,object identifier,Brieven,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""aef382d3-7e4b-464d-b570-ef65665e0eab"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8256cb26-5316-4fb3-82c8-2478304bd15d"", ""inverseOntologyProperty"": """"}]"
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0,2047,In Copyright,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19320218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1932-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000013551,referentienummer,False,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:14215,brocade id,False,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:14215/N,brocade url,False,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0b6aa8bd-8fb9-54c8-952b-7426a572c2f5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ae726571-ae42-4b44-894f-c8e4748bdfad"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_Titles,,,au::2268,,,,lhbr,lhbr,Brief,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,bs,,au::2268:1,au::2268g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/242676"",""au::2268"",""au::2268:1"",""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""Emmanuel de Bom"",""ark:/83110/x0/0b8cbad0-6889-5f1b-a837-0ed602b7f5ef""],""name"":""Emmanuel de Bom"",""ark"":""ark:/83110/x0/0b8cbad0-6889-5f1b-a837-0ed602b7f5ef"",""uri"":""/agents/people/242676"",""id"":""au::2268:1"",""resourceArk"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fa05ce4-acd5-595e-ad3d-cdbf7b2aecee,tg:lhbr:14215,e73_Titles,,,au::5592:::DIV.1,,,,lhbr,lhbr,Brief,a2387bfc-5137-50eb-966c-948901d19633,co,,au::5592:1::DIV.1,au::5592g:1::DIV.1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/598344"",""au::5592"",""au::5592:1"",""ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6"",""Joris Diels [Directeur van Koninklijke Nederlandse Schouwburg]"",""ark:/83110/x0/415883c7-1e6e-5363-83c6-65495460b28a"",""au::5592:1::DIV.1"",""au::5592:1::DIV::au::22381""],""name"":""Joris Diels [Directeur van Koninklijke Nederlandse Schouwburg]"",""ark"":""ark:/83110/x0/415883c7-1e6e-5363-83c6-65495460b28a"",""uri"":""/agents/people/598344"",""id"":""au::5592:1::DIV::au::22381"",""resourceArk"":""ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6"",""resourceID"":""au::5592:1"",""capacity"":""Directeur van Koninklijke Nederlandse Schouwburg"",""isCapacity"":true,""relatorRaw"":""au::5592:1::DIV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/212f9d04-d2f8-56a7-9746-69b3e6ad29e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
