ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:211661,record identifiers,https://data.letterenhuis.be/ark:/24970/10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,object identifier,Brieven,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""57e2b65e-2d6e-4089-9d2f-c1fa08eb6159"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0b40e993-4e98-4178-ab40-007d09247862"", ""inverseOntologyProperty"": """"}]"
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,2087,In Copyright,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19720204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1972-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000201136,referentienummer,False,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:211661,brocade id,False,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:211661/N,brocade url,False,,,,,,,,,,,,,,,
10e5dbf2-d1f1-5b97-bf9f-e338728dd79e,tg:lhbr:211661,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3054e39b-3b31-56a6-ae65-3c83f3b7e5b7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""430f9d91-96ca-46c8-9b4d-921c11ca3dba"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
