ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:300182,record identifiers,https://data.letterenhuis.be/ark:/24970/11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,object identifier,Brieven,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""789fa060-e4e4-4265-b94a-c4c74fcdb03c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a475c3f5-5981-46c3-9bc1-c36ff203a5ab"", ""inverseOntologyProperty"": """"}]"
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0,2101,In Copyright,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19861222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1986-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000288579,referentienummer,False,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:300182,brocade id,False,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:300182/N,brocade url,False,,,,,,,,,,,,,,,
11b99f1c-4b39-5f23-aa5a-28cc7b5274ce,tg:lhbr:300182,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""330838fa-d761-5c30-85fe-9c7e4ebaa64d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dc8be8bb-b007-4302-985f-6ea3ea4aefe9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
