ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:21988,record identifiers,https://data.letterenhuis.be/ark:/24970/1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,object identifier,Brieven,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e46f803-1295-4d5f-86f8-a7cc61acde45"", ""ontologyProperty"": """", ""resourceXresourceId"": ""54a364b4-4e9a-40a5-a46b-b86fa65a4ea7"", ""inverseOntologyProperty"": """"}]"
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924.0,2039,In Copyright,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19240904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1924-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000021066,referentienummer,False,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:21988,brocade id,False,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:21988/N,brocade url,False,,,,,,,,,,,,,,,
1330c2c4-3a57-5a2c-9150-69d8c6b0c3f3,tg:lhbr:21988,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1e452385-4457-5e1a-9664-3f7f7df0d55b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d54bfae9-a7a0-49b9-bbc8-bc89d080c790"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
