ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:5501,record identifiers,https://data.letterenhuis.be/ark:/24970/15c5e554-4b09-59e4-8a1a-1f8d76212e4d,object identifier,Brieven,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fca05de3-785a-440a-8ec6-b5c0b1851ad1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0995ff52-d2a4-462c-b335-8600b4e0bca7"", ""inverseOntologyProperty"": """"}]"
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.0,2066,In Copyright,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19510504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1951-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000005201,referentienummer,False,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:5501,brocade id,False,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:5501/N,brocade url,False,,,,,,,,,,,,,,,
15c5e554-4b09-59e4-8a1a-1f8d76212e4d,tg:lhbr:5501,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8c8f8637-49ee-536e-924d-bb1cdb893549"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3051011b-6be8-4792-8d07-17143a572064"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
