ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:291655,record identifiers,https://data.letterenhuis.be/ark:/24970/171e984f-47c3-53db-b2d8-59e9a8ee71ce,object identifier,Brieven,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8a4b51a4-ce11-4bf0-b088-2bd9ac19ed5c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77dedf4a-130e-4160-9f16-9bc001aa10d1"", ""inverseOntologyProperty"": """"}]"
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,2085,In Copyright,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1970-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000280126,referentienummer,False,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:291655,brocade id,False,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:291655/N,brocade url,False,,,,,,,,,,,,,,,
171e984f-47c3-53db-b2d8-59e9a8ee71ce,tg:lhbr:291655,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""88dcb95e-f2e7-5e60-a11b-0255fc0a578e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a62ca03b-86f0-4330-a9ea-7fcfc1d4a9ed"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
