ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:298475,record identifiers,https://data.letterenhuis.be/ark:/24970/17b8c20e-216d-563b-9b36-ea2bbd49c216,object identifier,Brieven,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5351494f-d769-4dfb-a9dd-d83d4694d08f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cdf76437-91f4-4102-9e41-08c2a52e677a"", ""inverseOntologyProperty"": """"}]"
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,2108,In Copyright,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19930704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1993-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000286882,referentienummer,False,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:298475,brocade id,False,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:298475/N,brocade url,False,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""20a382fc-6660-5479-9679-151770ff8538"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f59fbd8e-ee42-4af2-84b2-e2d9efcdd962"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_Titles,,,au::34112,,,,lhbr,lhbr,Brief,cc007074-6b62-5f94-8018-f3701c31667c,bs,,au::34112:1,au::34112g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3649984"",""au::34112"",""au::34112:1"",""ark:/83110/x0/cc007074-6b62-5f94-8018-f3701c31667c"",""Mark Schaevers"",""ark:/83110/x0/0df231a5-8ab8-586b-be64-2a4714717c6d""],""name"":""Mark Schaevers"",""ark"":""ark:/83110/x0/0df231a5-8ab8-586b-be64-2a4714717c6d"",""uri"":""/agents/people/3649984"",""id"":""au::34112:1"",""resourceArk"":""ark:/83110/x0/cc007074-6b62-5f94-8018-f3701c31667c"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cc007074-6b62-5f94-8018-f3701c31667c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_Titles,,,au::13725,,,,lhbr,lhbr,Brief,76c84869-5f1e-5502-817d-b36f25cf7a83,bs,,au::13725:1,au::13725g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/1468575"",""au::13725"",""au::13725:1"",""ark:/83110/x0/76c84869-5f1e-5502-817d-b36f25cf7a83"",""De Nieuwe Maand"",""ark:/83110/x0/91997602-12ec-57f2-b25d-8fe405bfd190""],""name"":""De Nieuwe Maand"",""ark"":""ark:/83110/x0/91997602-12ec-57f2-b25d-8fe405bfd190"",""uri"":""/agents/corporate_entities/1468575"",""id"":""au::13725:1"",""resourceArk"":""ark:/83110/x0/76c84869-5f1e-5502-817d-b36f25cf7a83"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/76c84869-5f1e-5502-817d-b36f25cf7a83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17b8c20e-216d-563b-9b36-ea2bbd49c216,tg:lhbr:298475,e73_Titles,,,au::4308,,,,lhbr,lhbr,Brief,a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,co,,au::4308:1,au::4308g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/460956"",""au::4308"",""au::4308:1"",""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""Herman de Coninck"",""ark:/83110/x0/3ba2ce49-76ac-5719-a894-d94d45c45024""],""name"":""Herman de Coninck"",""ark"":""ark:/83110/x0/3ba2ce49-76ac-5719-a894-d94d45c45024"",""uri"":""/agents/people/460956"",""id"":""au::4308:1"",""resourceArk"":""ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a08e3ed3-5baa-5f65-ab45-ac43d5ed4a6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
