ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:85794,record identifiers,https://data.letterenhuis.be/ark:/24970/194c2bc1-8b6a-5425-a5b2-3b689aea767d,object identifier,Brieven,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0f6410ff-d36a-4f9d-8816-515dba21053c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""91bda1b2-4972-4c34-9132-04be6e08b2f5"", ""inverseOntologyProperty"": """"}]"
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.0,2054,In Copyright,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19391024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1939-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000080538,referentienummer,False,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:85794,brocade id,False,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:85794/N,brocade url,False,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""42ee3c4b-edac-555c-b7bb-05c6211e0983"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a8b32bc6-29cf-40dc-8460-087bdec24575"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_Titles,,,au::35465,,,,lhbr,lhbr,Brief,4f5ea715-bf7c-50ea-ac4a-c090cec87537,bs,,au::35465:1,au::35465g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3794755"",""au::35465"",""au::35465:1"",""ark:/83110/x0/4f5ea715-bf7c-50ea-ac4a-c090cec87537"",""Georges Lambert"",""ark:/83110/x0/d4931bbd-f646-5edf-9dc8-b99bcee770cc""],""name"":""Georges Lambert"",""ark"":""ark:/83110/x0/d4931bbd-f646-5edf-9dc8-b99bcee770cc"",""uri"":""/agents/people/3794755"",""id"":""au::35465:1"",""resourceArk"":""ark:/83110/x0/4f5ea715-bf7c-50ea-ac4a-c090cec87537"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4f5ea715-bf7c-50ea-ac4a-c090cec87537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194c2bc1-8b6a-5425-a5b2-3b689aea767d,tg:lhbr:85794,e73_Titles,,,au::930,,,,lhbr,lhbr,Brief,278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,co,,au::930:1,au::930g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/99510"",""au::930"",""au::930:1"",""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""Lode Baekelmans"",""ark:/83110/x0/b78a1f01-4b9c-5026-bcc8-710f846c45ff""],""name"":""Lode Baekelmans"",""ark"":""ark:/83110/x0/b78a1f01-4b9c-5026-bcc8-710f846c45ff"",""uri"":""/agents/people/99510"",""id"":""au::930:1"",""resourceArk"":""ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
