ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:175326,record identifiers,https://data.letterenhuis.be/ark:/24970/1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,object identifier,Brieven,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8b94bab8-6a54-4da5-89cc-f4e38900cb62"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f83aeac8-7098-4fd7-a143-531379de26ed"", ""inverseOntologyProperty"": """"}]"
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926.0,2041,In Copyright,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19260702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1926-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000165179,referentienummer,False,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:175326,brocade id,False,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:175326/N,brocade url,False,,,,,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a70ecf6e-f7f7-54bb-9ffe-e76de5eaa8a0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a05759e2-ca98-46d5-889c-c3e2273e92c7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
1c089cc2-2738-5c2a-b8f0-30636d5fb3cd,tg:lhbr:175326,e73_Titles,,,au::42355,,,,lhbr,lhbr,Brief,6fc05b04-60df-587d-aabc-0da4b17e52c8,bs,,au::42355:1,au::42355g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4531985"",""au::42355"",""au::42355:1"",""ark:/83110/x0/6fc05b04-60df-587d-aabc-0da4b17e52c8"",""J. Verellen"",""ark:/83110/x0/b172d811-1b00-5c82-99e8-6fca5b52d12d""],""name"":""J. Verellen"",""ark"":""ark:/83110/x0/b172d811-1b00-5c82-99e8-6fca5b52d12d"",""uri"":""/agents/people/4531985"",""id"":""au::42355:1"",""resourceArk"":""ark:/83110/x0/6fc05b04-60df-587d-aabc-0da4b17e52c8"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6fc05b04-60df-587d-aabc-0da4b17e52c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
