ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:205360,record identifiers,https://data.letterenhuis.be/ark:/24970/1c3957ce-3b24-53ef-a4a6-1cccb918093f,object identifier,Brieven,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_AnnotationsImmaterial,1,note.lhalg,"<p>geschreven door mevr. Vriamont</p>
","<p>geschreven door mevr. Vriamont</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""12cac60b-794a-44ab-8e6d-3d7aeb97bba9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0d3c8493-d865-4e0c-ae52-708bc9430a8f"", ""inverseOntologyProperty"": """"}]"
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19621115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1962-11-15,,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000194896,referentienummer,False,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:205360,brocade id,False,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:205360/N,brocade url,False,,,,,,,,,,,,,,,
1c3957ce-3b24-53ef-a4a6-1cccb918093f,tg:lhbr:205360,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c3133830-2693-5079-b67b-01b8f87bf0d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""74e783e2-b209-461e-b080-d770d09a0ca7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
