ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:209506,record identifiers,https://data.letterenhuis.be/ark:/24970/25a06279-632b-5d74-b80d-479ceb67a7ec,object identifier,Brieven,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_AnnotationsImmaterial,1,note.lhalg,"<p>bijlage: beoordelingsformulier</p>
","<p>bijlage: beoordelingsformulier</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""27e19148-27eb-4ccf-b941-3ac3a3b3d6c0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ad5b46fc-bf6e-447c-b8b5-248cd147e431"", ""inverseOntologyProperty"": """"}]"
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.0,2095,In Copyright,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19801118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1980-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000198997,referentienummer,False,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:209506,brocade id,False,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:209506/N,brocade url,False,,,,,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b20da591-e121-5b26-a1e1-30a6f3dcc5d1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""52b57c08-fd61-42f5-b563-8b750d7e6ee4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
25a06279-632b-5d74-b80d-479ceb67a7ec,tg:lhbr:209506,e73_Titles,,,au::49804,,,,lhbr,lhbr,Brief,e5ab664d-afb8-5e7d-a6af-60db0d8aa3f9,bs,,au::49804:1,au::49804g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5329028"",""au::49804"",""au::49804:1"",""ark:/83110/x0/e5ab664d-afb8-5e7d-a6af-60db0d8aa3f9"",""Sine van Mol"",""ark:/83110/x0/7a121fd1-58ee-5614-8b33-baad03177c13""],""name"":""Sine van Mol"",""ark"":""ark:/83110/x0/7a121fd1-58ee-5614-8b33-baad03177c13"",""uri"":""/agents/people/5329028"",""id"":""au::49804:1"",""resourceArk"":""ark:/83110/x0/e5ab664d-afb8-5e7d-a6af-60db0d8aa3f9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e5ab664d-afb8-5e7d-a6af-60db0d8aa3f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
