ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:177450,record identifiers,https://data.letterenhuis.be/ark:/24970/25f04a50-ab81-5f5d-bd40-872a38febad8,object identifier,Brieven,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a920c453-02ff-480b-a50d-899451b007fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2af11853-8843-4ebf-b9cb-8213b887acdf"", ""inverseOntologyProperty"": """"}]"
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000167292,referentienummer,False,,,,,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:177450,brocade id,False,,,,,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:177450/N,brocade url,False,,,,,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""37f35a35-8536-5c2d-9861-76788d2c755f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""74b54af8-3e8e-4371-8293-857ca021f394"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,e73_Titles,,,au::16586,,,,lhbr,lhbr,Brief,1e4c2e07-3c64-51fb-a26f-ab6f0d87c32f,bs,,au::16586:1,au::16586g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1774702"",""au::16586"",""au::16586:1"",""ark:/83110/x0/1e4c2e07-3c64-51fb-a26f-ab6f0d87c32f"",""Rikke Schmitz"",""ark:/83110/x0/1640a4af-db8f-52c5-bd0a-6cb36b6610ea""],""name"":""Rikke Schmitz"",""ark"":""ark:/83110/x0/1640a4af-db8f-52c5-bd0a-6cb36b6610ea"",""uri"":""/agents/people/1774702"",""id"":""au::16586:1"",""resourceArk"":""ark:/83110/x0/1e4c2e07-3c64-51fb-a26f-ab6f0d87c32f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1e4c2e07-3c64-51fb-a26f-ab6f0d87c32f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25f04a50-ab81-5f5d-bd40-872a38febad8,tg:lhbr:177450,e73_Titles,,,au::16506,,,,lhbr,lhbr,Brief,0abeafb0-6227-5709-93d8-75ba3a3104cf,co,,au::16506:1,au::16506g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1766142"",""au::16506"",""au::16506:1"",""ark:/83110/x0/0abeafb0-6227-5709-93d8-75ba3a3104cf"",""Jan Schepens"",""ark:/83110/x0/a96b9e60-79bc-525b-bd83-312fcfe46a05""],""name"":""Jan Schepens"",""ark"":""ark:/83110/x0/a96b9e60-79bc-525b-bd83-312fcfe46a05"",""uri"":""/agents/people/1766142"",""id"":""au::16506:1"",""resourceArk"":""ark:/83110/x0/0abeafb0-6227-5709-93d8-75ba3a3104cf"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0abeafb0-6227-5709-93d8-75ba3a3104cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
