ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:134275,record identifiers,https://data.letterenhuis.be/ark:/24970/27d3f03c-b61f-50be-8215-57414074fdfc,object identifier,Brieven,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""69e1b4b4-5b32-4b52-a479-8870e10ac166"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1e44f578-d873-4542-907a-d978af68e825"", ""inverseOntologyProperty"": """"}]"
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0,2098,In Copyright,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19830803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1983-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000126451,referentienummer,False,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:134275,brocade id,False,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:134275/N,brocade url,False,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""435ad774-d5c4-5813-b90f-ea91b40a5b07"", ""ontologyProperty"": """", ""resourceXresourceId"": ""524d290c-44d2-4836-9820-4162de3bf6df"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_Titles,,,au::16956,,,,lhbr,lhbr,Brief,eb05b129-509b-5fda-ab5a-cb3917f7ed57,bs,,au::16956:1,au::16956g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1814292"",""au::16956"",""au::16956:1"",""ark:/83110/x0/eb05b129-509b-5fda-ab5a-cb3917f7ed57"",""Ludo Simons"",""ark:/83110/x0/3c88dc8e-121e-5d2c-a57d-0f03eafe137b""],""name"":""Ludo Simons"",""ark"":""ark:/83110/x0/3c88dc8e-121e-5d2c-a57d-0f03eafe137b"",""uri"":""/agents/people/1814292"",""id"":""au::16956:1"",""resourceArk"":""ark:/83110/x0/eb05b129-509b-5fda-ab5a-cb3917f7ed57"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/eb05b129-509b-5fda-ab5a-cb3917f7ed57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27d3f03c-b61f-50be-8215-57414074fdfc,tg:lhbr:134275,e73_Titles,,,au::4368,,,,lhbr,lhbr,Brief,44ed7234-0503-5139-b977-f337f498a8f5,co,,au::4368:1,au::4368g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/467376"",""au::4368"",""au::4368:1"",""ark:/83110/x0/44ed7234-0503-5139-b977-f337f498a8f5"",""Bob Cools"",""ark:/83110/x0/208c6ac7-1b99-55d5-ae44-d1ed2167c527""],""name"":""Bob Cools"",""ark"":""ark:/83110/x0/208c6ac7-1b99-55d5-ae44-d1ed2167c527"",""uri"":""/agents/people/467376"",""id"":""au::4368:1"",""resourceArk"":""ark:/83110/x0/44ed7234-0503-5139-b977-f337f498a8f5"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/44ed7234-0503-5139-b977-f337f498a8f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
