ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:15767,record identifiers,https://data.letterenhuis.be/ark:/24970/28018e13-7e76-55cc-b118-98d77716994c,object identifier,Brieven,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""28527e43-4dfa-453d-81ed-78d582ba4977"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ae047a69-6db2-4dee-84a3-c17298cb4063"", ""inverseOntologyProperty"": """"}]"
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,2081,In Copyright,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19661202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1966-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000015101,referentienummer,False,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:15767,brocade id,False,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:15767/N,brocade url,False,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d4f266ff-b895-5cef-91ac-a7c495bd70f4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0d95970d-56ca-423a-93b3-6f880efaa611"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_Titles,,,au::2331:::RDV.1,,,,lhbr,lhbr,Brief,fa911667-c0e3-57f3-a5cd-bdf8251c5b43,bs,,au::2331:1::RDV.1,au::2331g:1::RDV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/249417"",""au::2331"",""au::2331:1"",""ark:/83110/x0/e2600da2-dc23-5b57-b881-fe60a3e973da"",""Fernand Bonneure [Redacteur van Desclée-De Brouwer]"",""ark:/83110/x0/7846bbba-f28e-58c0-883a-d8fb43cd6ec4"",""au::2331:1::RDV.1"",""au::2331:1::RDV::au::5420""],""name"":""Fernand Bonneure [Redacteur van Desclée-De Brouwer]"",""ark"":""ark:/83110/x0/7846bbba-f28e-58c0-883a-d8fb43cd6ec4"",""uri"":""/agents/people/249417"",""id"":""au::2331:1::RDV::au::5420"",""resourceArk"":""ark:/83110/x0/e2600da2-dc23-5b57-b881-fe60a3e973da"",""resourceID"":""au::2331:1"",""capacity"":""Redacteur van Desclée-De Brouwer"",""isCapacity"":true,""relatorRaw"":""au::2331:1::RDV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e2600da2-dc23-5b57-b881-fe60a3e973da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28018e13-7e76-55cc-b118-98d77716994c,tg:lhbr:15767,e73_Titles,,,au::17799,,,,lhbr,lhbr,Brief,247e719e-494a-57ff-9807-6ae2f352503b,co,,au::17799:1,au::17799g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1904493"",""au::17799"",""au::17799:1"",""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""Stijn Streuvels"",""ark:/83110/x0/efb4d463-cba5-5d40-b2f0-a231edcf9eec""],""name"":""Stijn Streuvels"",""ark"":""ark:/83110/x0/efb4d463-cba5-5d40-b2f0-a231edcf9eec"",""uri"":""/agents/people/1904493"",""id"":""au::17799:1"",""resourceArk"":""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
