ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:248164,record identifiers,https://data.letterenhuis.be/ark:/24970/2975bd83-944c-5fcf-ae02-0e45f1c6f203,object identifier,Brieven,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b891091a-6e71-4fe1-aa81-b92ab59eb1c7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""46ac99fc-a272-4ab8-88e5-0e2f7c4436b5"", ""inverseOntologyProperty"": """"}]"
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.0,2058,In Copyright,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19430728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1943-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000237069,referentienummer,False,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:248164,brocade id,False,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:248164/N,brocade url,False,,,,,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0bfbcd01-30fb-559f-bee6-e1b20f72d7d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eca69556-4581-4ecc-8ba6-659e9c6e37bf"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
2975bd83-944c-5fcf-ae02-0e45f1c6f203,tg:lhbr:248164,e73_Titles,,,au::14671,,,,lhbr,lhbr,Brief,a79e744f-ddd5-5a40-b02e-4e773fa9713a,bs,,au::14671:1,au::14671g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1569797"",""au::14671"",""au::14671:1"",""ark:/83110/x0/a79e744f-ddd5-5a40-b02e-4e773fa9713a"",""Gust Persoons"",""ark:/83110/x0/dc6032b8-2da8-57ca-838d-1237b89a0bf1""],""name"":""Gust Persoons"",""ark"":""ark:/83110/x0/dc6032b8-2da8-57ca-838d-1237b89a0bf1"",""uri"":""/agents/people/1569797"",""id"":""au::14671:1"",""resourceArk"":""ark:/83110/x0/a79e744f-ddd5-5a40-b02e-4e773fa9713a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a79e744f-ddd5-5a40-b02e-4e773fa9713a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
