ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:47000,record identifiers,https://data.letterenhuis.be/ark:/24970/2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,object identifier,Brieven,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""057f434b-dec2-4e6c-a776-69099382b311"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a9e011ba-cb30-42da-999b-46a8e2164277"", ""inverseOntologyProperty"": """"}]"
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,2048,In Copyright,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19331225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1933-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000045278,referentienummer,False,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:47000,brocade id,False,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:47000/N,brocade url,False,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""15c9d1d1-6f3b-5fdb-bc22-888bc72c111f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3d2f2de9-5c83-40fc-8026-036ccead6c9a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_Titles,,,au::5795,,,,lhbr,lhbr,Brief,47b063ab-0464-5cce-bc9a-e595dddf02bf,bs,,au::5795:1,au::5795g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/620065"",""au::5795"",""au::5795:1"",""ark:/83110/x0/47b063ab-0464-5cce-bc9a-e595dddf02bf"",""Jan Derk Domela Nieuwenhuis Nyegaard"",""ark:/83110/x0/733f8feb-6ab9-570a-a136-3e2141bd9f74""],""name"":""Jan Derk Domela Nieuwenhuis Nyegaard"",""ark"":""ark:/83110/x0/733f8feb-6ab9-570a-a136-3e2141bd9f74"",""uri"":""/agents/people/620065"",""id"":""au::5795:1"",""resourceArk"":""ark:/83110/x0/47b063ab-0464-5cce-bc9a-e595dddf02bf"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/47b063ab-0464-5cce-bc9a-e595dddf02bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a11f2a8-57ea-5923-9b21-d5b3fd7aadaa,tg:lhbr:47000,e73_Titles,,,au::19619,,,,lhbr,lhbr,Brief,acf3d202-e764-5d35-89e5-eee9e60756e0,co,,au::19619:1,au::19619g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/2099233"",""au::19619"",""au::19619:1"",""ark:/83110/x0/acf3d202-e764-5d35-89e5-eee9e60756e0"",""Raf Verhulst"",""ark:/83110/x0/dcc726f9-7632-5cad-8729-b4d10269d62e""],""name"":""Raf Verhulst"",""ark"":""ark:/83110/x0/dcc726f9-7632-5cad-8729-b4d10269d62e"",""uri"":""/agents/people/2099233"",""id"":""au::19619:1"",""resourceArk"":""ark:/83110/x0/acf3d202-e764-5d35-89e5-eee9e60756e0"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/acf3d202-e764-5d35-89e5-eee9e60756e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
