ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:130654,record identifiers,https://data.letterenhuis.be/ark:/24970/2adcc072-c064-596e-a239-e56979d0765b,object identifier,Brieven,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fb5c9277-9ff4-4c01-9b37-4981c4b5d3b1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""12f35e02-d256-46e7-b63d-29bb2d65d920"", ""inverseOntologyProperty"": """"}]"
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright,
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19421019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1942-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000122996,referentienummer,False,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:130654,brocade id,False,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:130654/N,brocade url,False,,,,,,,,,,,,,,,
2adcc072-c064-596e-a239-e56979d0765b,tg:lhbr:130654,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""499f50b1-1971-5bd0-87ed-ca179048a4b3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3f3d573c-169f-455f-982b-69e04e646100"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
