ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:82042,record identifiers,https://data.letterenhuis.be/ark:/24970/2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,object identifier,Brieven,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d3781b37-2a36-4823-9f9f-e670f18babf2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c0532152-1c84-4d10-bdef-92cfbfd7f89d"", ""inverseOntologyProperty"": """"}]"
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.0,2068,In Copyright,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19530912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1953-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000077138,referentienummer,False,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:82042,brocade id,False,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:82042/N,brocade url,False,,,,,,,,,,,,,,,
2b6fcaae-57c3-55d4-be86-4037bc6b0d3c,tg:lhbr:82042,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""47de5044-0334-5b88-b619-5884bb51743e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c98f3724-1aad-4d25-99da-58f540c32b43"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
