ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:256588,record identifiers,https://data.letterenhuis.be/ark:/24970/2d184801-109d-55fb-b051-9389b7c875ae,object identifier,Brieven,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c1f40b03-d19a-4144-8c5c-a7a39cb3825b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d8c76c38-022e-443f-b300-998b75403035"", ""inverseOntologyProperty"": """"}]"
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,2076,In Copyright,
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19611024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1961-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000245376,referentienummer,False,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:256588,brocade id,False,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:256588/N,brocade url,False,,,,,,,,,,,,,,,
2d184801-109d-55fb-b051-9389b7c875ae,tg:lhbr:256588,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4e839541-2ce0-5d1c-8ac6-67bc89bc6b63"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4fe18c00-0a93-4b18-a300-7a10adda8797"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
