ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:140606,record identifiers,https://data.letterenhuis.be/ark:/24970/2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,object identifier,Brieven,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7352aef8-8714-4455-a8f1-c9609399826f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""030049d9-28e7-483c-a7d8-20f5df58f57d"", ""inverseOntologyProperty"": """"}]"
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,2046,In Copyright,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19310616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1931-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000132475,referentienummer,False,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:140606,brocade id,False,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:140606/N,brocade url,False,,,,,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cb51c3f3-60d7-5902-8c02-5c49e0c86263"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dbb97409-4485-4830-94fa-91dfd966ddaa"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
2f4dbc38-9a26-5de0-b1f1-e2f0f34eda5b,tg:lhbr:140606,e73_Titles,,,au::18061,,,,lhbr,lhbr,Brief,c0d60243-7d16-5c50-903a-9afd16f6a7dd,bs,,au::18061:1,au::18061g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1932527"",""au::18061"",""au::18061:1"",""ark:/83110/x0/c0d60243-7d16-5c50-903a-9afd16f6a7dd"",""Jos Tanghe"",""ark:/83110/x0/c621bf13-3c3b-5fc8-853e-0728a53a12e5""],""name"":""Jos Tanghe"",""ark"":""ark:/83110/x0/c621bf13-3c3b-5fc8-853e-0728a53a12e5"",""uri"":""/agents/people/1932527"",""id"":""au::18061:1"",""resourceArk"":""ark:/83110/x0/c0d60243-7d16-5c50-903a-9afd16f6a7dd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c0d60243-7d16-5c50-903a-9afd16f6a7dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
