ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:201460,record identifiers,https://data.letterenhuis.be/ark:/24970/2fcbee14-9a1c-5650-a04c-7b7d071f320d,object identifier,Brieven,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0a9b3baa-c1ed-4aa2-ba7e-c4c3ffe1ae22"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e8056c6-0ccb-497e-b11d-30e473a10500"", ""inverseOntologyProperty"": """"}]"
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,2085,In Copyright,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1970-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000191018,referentienummer,False,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:201460,brocade id,False,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:201460/N,brocade url,False,,,,,,,,,,,,,,,
2fcbee14-9a1c-5650-a04c-7b7d071f320d,tg:lhbr:201460,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""0c3cf122-19f9-5924-883f-6ebc1bbb8708"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2cc39daa-daee-40e3-b9d0-aa9e66c87bdd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
