ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:226685,record identifiers,https://data.letterenhuis.be/ark:/24970/30a8619a-7483-59c8-b4bc-761d402c1681,object identifier,Brieven,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Documentatie bijgevoegd.</p>
","<p>Documentatie bijgevoegd.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""583c5a24-5879-4e35-8285-949add45e946"", ""ontologyProperty"": """", ""resourceXresourceId"": ""721d539f-6c52-4496-bd7e-e45de9e9dfbf"", ""inverseOntologyProperty"": """"}]"
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,2074,In Copyright,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19590410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1959-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000215933,referentienummer,False,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:226685,brocade id,False,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:226685/N,brocade url,False,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a74be919-e276-5266-9071-e7cac79707ae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""61b4be3a-65cd-46ed-b42c-62c5921df72a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_Titles,,,au::14574,,,,lhbr,lhbr,Brief,650fde06-0b76-5698-b68c-d572454712be,bs,,au::14574:1,au::14574g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1559418"",""au::14574"",""au::14574:1"",""ark:/83110/x0/650fde06-0b76-5698-b68c-d572454712be"",""Luc Peire"",""ark:/83110/x0/6c4522ac-4f68-56d8-9ead-0cccb9e65c15""],""name"":""Luc Peire"",""ark"":""ark:/83110/x0/6c4522ac-4f68-56d8-9ead-0cccb9e65c15"",""uri"":""/agents/people/1559418"",""id"":""au::14574:1"",""resourceArk"":""ark:/83110/x0/650fde06-0b76-5698-b68c-d572454712be"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/650fde06-0b76-5698-b68c-d572454712be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30a8619a-7483-59c8-b4bc-761d402c1681,tg:lhbr:226685,e73_Titles,,,au::16864,,,,lhbr,lhbr,Brief,ec088980-6865-51bc-953c-71bb468e9977,co,,au::16864:1,au::16864g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor"",""ark:/83110/x0/c6a27971-f14f-50e7-96be-806745877ee2""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/c6a27971-f14f-50e7-96be-806745877ee2"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""resourceArk"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
