ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:46215,record identifiers,https://data.letterenhuis.be/ark:/24970/369de3d5-abb6-5f85-8152-39ba18f6408f,object identifier,Brieven,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a980b02f-0755-477c-891a-a59b4dcb7af2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""14832bbe-2d1c-48cb-bc7d-b045fd211ca3"", ""inverseOntologyProperty"": """"}]"
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.0,1989,No Copyright - Public Domain Mark 1.0,
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1874-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000044531,referentienummer,False,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:46215,brocade id,False,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:46215/N,brocade url,False,,,,,,,,,,,,,,,
369de3d5-abb6-5f85-8152-39ba18f6408f,tg:lhbr:46215,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d30b8b23-0ecb-5508-ba19-49d00f1aaa38"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bdf9e4f7-e71a-42db-9aa3-ae085b721ce1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
