ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:59548,record identifiers,https://data.letterenhuis.be/ark:/24970/39bdf9b0-d581-5245-9059-0698ad3894fd,object identifier,Brieven,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8e2c5589-52a5-4410-986e-92d1bd869ba7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0cc95769-50ae-4d29-b606-1e71da68c537"", ""inverseOntologyProperty"": """"}]"
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.0,2004,No Copyright - Public Domain Mark 1.0,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18890120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1889-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000056945,referentienummer,False,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:59548,brocade id,False,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:59548/N,brocade url,False,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""92c1442e-9bf9-5408-9078-9b5de5a68d0d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""03871861-0d86-4871-b2df-79de6e6d2049"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_Titles,,,au::7579,,,,lhbr,lhbr,Brief,41d3052a-51e6-517c-b1ca-befe4ce602d2,bs,,au::7579:1,au::7579g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/810953"",""au::7579"",""au::7579:1"",""ark:/83110/x0/41d3052a-51e6-517c-b1ca-befe4ce602d2"",""Jacques van Ginneken"",""ark:/83110/x0/c9258c88-cea5-51f3-b5ee-56d404bc33e4""],""name"":""Jacques van Ginneken"",""ark"":""ark:/83110/x0/c9258c88-cea5-51f3-b5ee-56d404bc33e4"",""uri"":""/agents/people/810953"",""id"":""au::7579:1"",""resourceArk"":""ark:/83110/x0/41d3052a-51e6-517c-b1ca-befe4ce602d2"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/41d3052a-51e6-517c-b1ca-befe4ce602d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39bdf9b0-d581-5245-9059-0698ad3894fd,tg:lhbr:59548,e73_Titles,,,au::7733,,,,lhbr,lhbr,Brief,c675a24e-457d-5bc9-9c72-9640bb831c37,co,,au::7733:1,au::7733g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/827431"",""au::7733"",""au::7733:1"",""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""Jozef Goossenaerts"",""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1""],""name"":""Jozef Goossenaerts"",""ark"":""ark:/83110/x0/d1b74417-2c7c-528f-a869-44c25ad110e1"",""uri"":""/agents/people/827431"",""id"":""au::7733:1"",""resourceArk"":""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
