ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:167911,record identifiers,https://data.letterenhuis.be/ark:/24970/3d4afccc-b67c-574a-97cf-11c5022a7db5,object identifier,Brieven,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3a74b140-66e9-4943-96d7-7add06e50668"", ""ontologyProperty"": """", ""resourceXresourceId"": ""84c4b389-7121-40fb-afb1-eb27b4dfc3ef"", ""inverseOntologyProperty"": """"}]"
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright,
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19620220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1962-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000158206,referentienummer,False,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:167911,brocade id,False,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:167911/N,brocade url,False,,,,,,,,,,,,,,,
3d4afccc-b67c-574a-97cf-11c5022a7db5,tg:lhbr:167911,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""62881821-344d-5c94-b226-2a2e6a99d6a9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""69a9c2ff-a700-43e8-8b09-82037ade943f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
