ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:33591,record identifiers,https://data.letterenhuis.be/ark:/24970/49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,object identifier,Brieven,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b8cd173a-130c-4f7a-8237-0fc278bcd571"", ""ontologyProperty"": """", ""resourceXresourceId"": ""396a06f8-5e42-4deb-bcba-5f162d61139b"", ""inverseOntologyProperty"": """"}]"
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925.0,2040,In Copyright,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19250211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1925-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000032413,referentienummer,False,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:33591,brocade id,False,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:33591/N,brocade url,False,,,,,,,,,,,,,,,
49f53ad9-6fa9-5aaf-b760-4b49f87a47e2,tg:lhbr:33591,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8918d816-d789-58c8-83f3-55e33766ce15"", ""ontologyProperty"": """", ""resourceXresourceId"": ""191bb376-171a-472a-9837-cf780da71589"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
