ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:241662,record identifiers,https://data.letterenhuis.be/ark:/24970/4a99a661-43aa-5954-a62a-919fc7ac43cd,object identifier,Brieven,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8a970468-6f16-45c2-8773-ff0c3b87df62"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ac6e102-a946-47b4-b0b6-cc2cb06f7f91"", ""inverseOntologyProperty"": """"}]"
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.0,2083,In Copyright,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19680506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19680723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1968-05-06,1968-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000230654,referentienummer,False,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:241662,brocade id,False,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:241662/N,brocade url,False,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 brgr,groepsbeschrijving,False,2,brgr,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fba2244d-d486-58b8-95a5-d305d26822fb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e5e9e401-a62c-4ef3-9a8e-27966e7c2eb0"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_Titles,,,au::832,,,,lhbr,lhbr,Brief,13c7b3bf-b980-5ed1-86e3-c353606056bc,bs,,au::832:1,au::832g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/89024"",""au::832"",""au::832:1"",""ark:/83110/x0/13c7b3bf-b980-5ed1-86e3-c353606056bc"",""Fernand van der Auwera"",""ark:/83110/x0/32b50123-8e24-5a94-89e0-83b7f36fcff6""],""name"":""Fernand van der Auwera"",""ark"":""ark:/83110/x0/32b50123-8e24-5a94-89e0-83b7f36fcff6"",""uri"":""/agents/people/89024"",""id"":""au::832:1"",""resourceArk"":""ark:/83110/x0/13c7b3bf-b980-5ed1-86e3-c353606056bc"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/13c7b3bf-b980-5ed1-86e3-c353606056bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a99a661-43aa-5954-a62a-919fc7ac43cd,tg:lhbr:241662,e73_Titles,,,au::12828,,,,lhbr,lhbr,Brief,644aeb61-2f93-5fbc-9530-61fb95fa01ef,co,,au::12828:1,au::12828g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1372596"",""au::12828"",""au::12828:1"",""ark:/83110/x0/644aeb61-2f93-5fbc-9530-61fb95fa01ef"",""Ivo Michiels"",""ark:/83110/x0/c6370681-a1c8-5125-bdf6-e959387857b4""],""name"":""Ivo Michiels"",""ark"":""ark:/83110/x0/c6370681-a1c8-5125-bdf6-e959387857b4"",""uri"":""/agents/people/1372596"",""id"":""au::12828:1"",""resourceArk"":""ark:/83110/x0/644aeb61-2f93-5fbc-9530-61fb95fa01ef"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/644aeb61-2f93-5fbc-9530-61fb95fa01ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
