ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:121376,record identifiers,https://data.letterenhuis.be/ark:/24970/4bd17526-8110-5e24-bfd4-406686a64706,object identifier,Brieven,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ede65222-b331-48ff-96e5-7b5e06c61457"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1438b99b-bbb5-4769-9670-7169032ddd68"", ""inverseOntologyProperty"": """"}]"
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,2085,In Copyright,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1970-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000114177,referentienummer,False,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:121376,brocade id,False,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:121376/N,brocade url,False,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c60d360c-0140-5f54-adec-2c344e86cd12"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0c62e989-fa02-4959-a5c0-e796bef9a3f1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_Titles,,,au::15681,,,,lhbr,lhbr,Brief,0bf76e7f-fb54-58e0-8760-54aad1a8ebbc,bs,,au::15681:1,au::15681g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1677867"",""au::15681"",""au::15681:1"",""ark:/83110/x0/0bf76e7f-fb54-58e0-8760-54aad1a8ebbc"",""Clem de Ridder"",""ark:/83110/x0/956025fc-f902-55b7-94fc-9d0367b079bf""],""name"":""Clem de Ridder"",""ark"":""ark:/83110/x0/956025fc-f902-55b7-94fc-9d0367b079bf"",""uri"":""/agents/people/1677867"",""id"":""au::15681:1"",""resourceArk"":""ark:/83110/x0/0bf76e7f-fb54-58e0-8760-54aad1a8ebbc"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0bf76e7f-fb54-58e0-8760-54aad1a8ebbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bd17526-8110-5e24-bfd4-406686a64706,tg:lhbr:121376,e73_Titles,,,au::4044,,,,lhbr,lhbr,Brief,1030e56d-b6f7-50d1-8eb1-38499f27f7c1,co,,au::4044:1,au::4044g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/432708"",""au::4044"",""au::4044:1"",""ark:/83110/x0/1030e56d-b6f7-50d1-8eb1-38499f27f7c1"",""Mon de Clopper"",""ark:/83110/x0/ea9dd53d-8777-572d-8e8e-335e2fee9e6d""],""name"":""Mon de Clopper"",""ark"":""ark:/83110/x0/ea9dd53d-8777-572d-8e8e-335e2fee9e6d"",""uri"":""/agents/people/432708"",""id"":""au::4044:1"",""resourceArk"":""ark:/83110/x0/1030e56d-b6f7-50d1-8eb1-38499f27f7c1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1030e56d-b6f7-50d1-8eb1-38499f27f7c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
