ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:236039,record identifiers,https://data.letterenhuis.be/ark:/24970/4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,object identifier,Brieven,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a2cee831-dc7e-4ada-8448-6e7a16d9e8d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2e12f9ea-877c-48c0-b921-6a4e8b0c9362"", ""inverseOntologyProperty"": """"}]"
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,2080,In Copyright,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19650528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1965-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000225211,referentienummer,False,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:236039,brocade id,False,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:236039/N,brocade url,False,,,,,,,,,,,,,,,
4e6a6e39-8f0e-58ab-8a54-2944ccaa9d25,tg:lhbr:236039,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f4bdbc82-06c2-5955-aa5d-e7cccf16dd68"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6dc55705-9d46-47fb-bb7b-43f57ce2dc91"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
