ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:274282,record identifiers,https://data.letterenhuis.be/ark:/24970/5112034c-8d34-5f28-a5b3-f777b9d8db9d,object identifier,Brieven,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""25dd0aa1-0612-40bd-a3ee-fee12ce551f1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8880b80c-1680-404c-8e32-412fbcd90d05"", ""inverseOntologyProperty"": """"}]"
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0,2076,In Copyright,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19610414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1961-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000262915,referentienummer,False,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:274282,brocade id,False,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:274282/N,brocade url,False,,,,,,,,,,,,,,,
5112034c-8d34-5f28-a5b3-f777b9d8db9d,tg:lhbr:274282,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 brin,groepsbeschrijving,False,3,brin,,,,,,,,,,,,,
