ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:57801,record identifiers,https://data.letterenhuis.be/ark:/24970/525ef1ed-1470-5a9f-ae5b-6154981c0fb0,object identifier,Brieven,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fffd1018-07e3-41bb-a84f-b4348ed1a9e7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d2a8e669-9599-4475-905b-af663c3d0088"", ""inverseOntologyProperty"": """"}]"
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19640601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000055226,referentienummer,False,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:57801,brocade id,False,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:57801/N,brocade url,False,,,,,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8cb7e385-dea4-5a93-8f76-c732f31f5e97"", ""ontologyProperty"": """", ""resourceXresourceId"": ""94c5c665-1a03-43c2-a57b-e7506b3c1e0f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
525ef1ed-1470-5a9f-ae5b-6154981c0fb0,tg:lhbr:57801,e73_Titles,,,au::7526,,,,lhbr,lhbr,Brief,da00885f-dddd-542c-9767-38420a17149f,bs,,au::7526:1,au::7526g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/805282"",""au::7526"",""au::7526:1"",""ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f"",""Marnix Gijsen"",""ark:/83110/x0/bbb1d4ba-e5a4-5fac-ad9a-af103f32c270""],""name"":""Marnix Gijsen"",""ark"":""ark:/83110/x0/bbb1d4ba-e5a4-5fac-ad9a-af103f32c270"",""uri"":""/agents/people/805282"",""id"":""au::7526:1"",""resourceArk"":""ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
