ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:260611,record identifiers,https://data.letterenhuis.be/ark:/24970/544e1acf-1093-51bb-aa72-7f51b5630930,object identifier,Brieven,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b696ec64-d7d7-4ba8-b18e-50d3d0ff9401"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d07b9862-e424-452e-ad02-fb27fe5dfed1"", ""inverseOntologyProperty"": """"}]"
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,2090,In Copyright,
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19750412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1975-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000249382,referentienummer,False,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:260611,brocade id,False,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:260611/N,brocade url,False,,,,,,,,,,,,,,,
544e1acf-1093-51bb-aa72-7f51b5630930,tg:lhbr:260611,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f181920c-8b0b-5b2e-b931-ac2ae8cd9de7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6121262d-e25f-46bc-bf93-765304f8375e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
