ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:137180,record identifiers,https://data.letterenhuis.be/ark:/24970/57bd4067-926e-5189-b51c-3f969d9ad0f2,object identifier,Brieven,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f512c815-92f2-4126-b29f-c600f5f4fce7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f95ea6f4-d52e-4fde-862d-7826a488f059"", ""inverseOntologyProperty"": """"}]"
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000129167,referentienummer,False,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:137180,brocade id,False,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:137180/N,brocade url,False,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""db1a404c-5abd-5cb4-9fb5-dbb01968cb81"", ""ontologyProperty"": """", ""resourceXresourceId"": ""06e10274-8ba0-41d5-963e-483742415acf"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_Titles,,,au::17499:::SEV.1,,,,lhbr,lhbr,Brief,32e14a02-072a-54c2-aa77-7ef3c84fae49,bs,,au::17499:1::SEV.1,au::17499g:1::SEV.1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1872393"",""au::17499"",""au::17499:1"",""ark:/83110/x0/b4184282-2dae-5811-824c-453c7a1917e3"",""Ysbrand Paulus Stasse [Secretaris van Moderne Encyclopedie der Wereldliteratuur]"",""ark:/83110/x0/98308f61-7995-5fdc-b751-c9424fe86246"",""au::17499:1::SEV.1"",""au::17499:1::SEV::au::12971""],""name"":""Ysbrand Paulus Stasse [Secretaris van Moderne Encyclopedie der Wereldliteratuur]"",""ark"":""ark:/83110/x0/98308f61-7995-5fdc-b751-c9424fe86246"",""uri"":""/agents/people/1872393"",""id"":""au::17499:1::SEV::au::12971"",""resourceArk"":""ark:/83110/x0/b4184282-2dae-5811-824c-453c7a1917e3"",""resourceID"":""au::17499:1"",""capacity"":""Secretaris van Moderne Encyclopedie der Wereldliteratuur"",""isCapacity"":true,""relatorRaw"":""au::17499:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b4184282-2dae-5811-824c-453c7a1917e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57bd4067-926e-5189-b51c-3f969d9ad0f2,tg:lhbr:137180,e73_Titles,,,au::21438,,,,lhbr,lhbr,Brief,b0fbbf84-1d1c-5e96-bf65-80d54cad01c8,co,,au::21438:1,au::21438g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/2293866"",""au::21438"",""au::21438:1"",""ark:/83110/x0/b0fbbf84-1d1c-5e96-bf65-80d54cad01c8"",""Emiel Willekens"",""ark:/83110/x0/ba39c13b-97ff-5d69-b660-67df60284070""],""name"":""Emiel Willekens"",""ark"":""ark:/83110/x0/ba39c13b-97ff-5d69-b660-67df60284070"",""uri"":""/agents/people/2293866"",""id"":""au::21438:1"",""resourceArk"":""ark:/83110/x0/b0fbbf84-1d1c-5e96-bf65-80d54cad01c8"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b0fbbf84-1d1c-5e96-bf65-80d54cad01c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
