ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:59659,record identifiers,https://data.letterenhuis.be/ark:/24970/5969e07f-cb93-5848-a976-a368c9467c62,object identifier,Brieven,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""ff496846-9aad-431f-b63d-9aaad63cd304"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7cb6e095-4c9e-4c70-817b-2f20559ef433"", ""inverseOntologyProperty"": """"}]"
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910.0,2025,In Copyright,
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1910-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000057055,referentienummer,False,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:59659,brocade id,False,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:59659/N,brocade url,False,,,,,,,,,,,,,,,
5969e07f-cb93-5848-a976-a368c9467c62,tg:lhbr:59659,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""58f4b868-91fa-5a32-899a-4ba53b43e4ab"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c956223-2cbe-42c3-a051-6fa9c22f8ddd"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
