ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:157317,record identifiers,https://data.letterenhuis.be/ark:/24970/5b1aadd4-fa7b-5f7d-805d-bbcb53188794,object identifier,Brieven,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b9155316-3f70-4a25-ab66-e7c497577071"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8f4d7d1e-5985-4ce7-829a-9c1ec3598ae3"", ""inverseOntologyProperty"": """"}]"
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.0,1994,No Copyright - Public Domain Mark 1.0,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1879,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000148501,referentienummer,False,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:157317,brocade id,False,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:157317/N,brocade url,False,,,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 brgr,groepsbeschrijving,False,16,brgr,,,,,,,,,,,,,
5b1aadd4-fa7b-5f7d-805d-bbcb53188794,tg:lhbr:157317,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8de9ddb3-5dd6-5490-8ef1-f3a053710e84"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b31ba188-5351-44df-aeda-6968d4be0647"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
