ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:266906,record identifiers,https://data.letterenhuis.be/ark:/24970/5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,object identifier,Brieven,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b0f48974-6e2b-48e5-9534-8682d70cf104"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c02ffe1-7aea-4b65-9057-9d824f7b092e"", ""inverseOntologyProperty"": """"}]"
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Copyright Undetermined,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000255642,referentienummer,False,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:266906,brocade id,False,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:266906/N,brocade url,False,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""197d2638-c66f-555e-848b-cd93703e0818"", ""ontologyProperty"": """", ""resourceXresourceId"": ""04f72c33-ab68-4f31-8aa0-433bdb2b2ce9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_Titles,,,au::6111,,,,lhbr,lhbr,Brief,74430b3a-282d-5013-b777-363c2b882eaa,bs,,au::6111:1,au::6111g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/653877"",""au::6111"",""au::6111:1"",""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""Prudens van Duyse"",""ark:/83110/x0/92fa9bfb-8ce1-5b96-a70a-cfeb80e4fdbe""],""name"":""Prudens van Duyse"",""ark"":""ark:/83110/x0/92fa9bfb-8ce1-5b96-a70a-cfeb80e4fdbe"",""uri"":""/agents/people/653877"",""id"":""au::6111:1"",""resourceArk"":""ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74430b3a-282d-5013-b777-363c2b882eaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcf7fb6-01a2-56ce-9a0c-440e0020b1b1,tg:lhbr:266906,e73_Titles,,,au::15905,,,,lhbr,lhbr,Brief,31c6b5c0-8584-5074-8da0-e3bf85450fbc,co,,au::15905:1,au::15905g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1701835"",""au::15905"",""au::15905:1"",""ark:/83110/x0/31c6b5c0-8584-5074-8da0-e3bf85450fbc"",""Charles Rogier"",""ark:/83110/x0/6ae10135-9ce3-5c3e-9c80-cfd1820c1825""],""name"":""Charles Rogier"",""ark"":""ark:/83110/x0/6ae10135-9ce3-5c3e-9c80-cfd1820c1825"",""uri"":""/agents/people/1701835"",""id"":""au::15905:1"",""resourceArk"":""ark:/83110/x0/31c6b5c0-8584-5074-8da0-e3bf85450fbc"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/31c6b5c0-8584-5074-8da0-e3bf85450fbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
