ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:103231,record identifiers,https://data.letterenhuis.be/ark:/24970/5f0513cd-085b-5f21-ade4-3c639bf86f8c,object identifier,Brieven,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f592ef11-c3ff-45e1-ab1f-c5cfbd8ec1bb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e4ffde07-d530-44a8-bc5d-6947be63e49e"", ""inverseOntologyProperty"": """"}]"
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0,2037,In Copyright,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19220121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1922-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000097033,referentienummer,False,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:103231,brocade id,False,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:103231/N,brocade url,False,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""81ba0876-1fcc-5c82-8ac0-18db1333eee8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0a67f6d-43a1-49a7-9c65-de0e563ccec5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_Titles,,,au::13193,,,,lhbr,lhbr,Brief,d42cd3e8-be78-58d6-80bb-e3e91000a395,bs,,au::13193:1,au::13193g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1411651"",""au::13193"",""au::13193:1"",""ark:/83110/x0/d42cd3e8-be78-58d6-80bb-e3e91000a395"",""Robrecht Mortier"",""ark:/83110/x0/faf0c3ce-3645-5329-b90a-6f74695431f6""],""name"":""Robrecht Mortier"",""ark"":""ark:/83110/x0/faf0c3ce-3645-5329-b90a-6f74695431f6"",""uri"":""/agents/people/1411651"",""id"":""au::13193:1"",""resourceArk"":""ark:/83110/x0/d42cd3e8-be78-58d6-80bb-e3e91000a395"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d42cd3e8-be78-58d6-80bb-e3e91000a395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f0513cd-085b-5f21-ade4-3c639bf86f8c,tg:lhbr:103231,e73_Titles,,,au::4810,,,,lhbr,lhbr,Brief,e0af0dba-6825-5764-bae1-6d70ec03f334,co,,au::4810:1,au::4810g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/514670"",""au::4810"",""au::4810:1"",""ark:/83110/x0/e0af0dba-6825-5764-bae1-6d70ec03f334"",""Frans Daels"",""ark:/83110/x0/e9eda693-b9d4-5e46-ad21-f6371d965c8c""],""name"":""Frans Daels"",""ark"":""ark:/83110/x0/e9eda693-b9d4-5e46-ad21-f6371d965c8c"",""uri"":""/agents/people/514670"",""id"":""au::4810:1"",""resourceArk"":""ark:/83110/x0/e0af0dba-6825-5764-bae1-6d70ec03f334"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e0af0dba-6825-5764-bae1-6d70ec03f334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
