ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:270743,record identifiers,https://data.letterenhuis.be/ark:/24970/5fd99afa-5bdf-563a-a813-2815b03cc656,object identifier,Brieven,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c8ff38d3-dd30-415a-b0d8-75cefc14b626"", ""ontologyProperty"": """", ""resourceXresourceId"": ""97c94df8-1985-4719-aeeb-90f4a77a78ff"", ""inverseOntologyProperty"": """"}]"
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0,2078,In Copyright,
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19630915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1963-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000259428,referentienummer,False,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:270743,brocade id,False,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:270743/N,brocade url,False,,,,,,,,,,,,,,,
5fd99afa-5bdf-563a-a813-2815b03cc656,tg:lhbr:270743,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5045df5a-a816-578c-89ad-a16eb507bc1a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a21eb507-6ada-473f-ae35-ec97b8008556"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
