ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:145486,record identifiers,https://data.letterenhuis.be/ark:/24970/63d5c80c-db35-552f-b5d0-683a58ecfc67,object identifier,Brieven,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""97202e36-3c47-4e56-8e7d-33134c39b5fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""61fd6e8b-20c6-4fb6-aab6-36d2400d877b"", ""inverseOntologyProperty"": """"}]"
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0,2078,In Copyright,
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19630916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1963-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000137112,referentienummer,False,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:145486,brocade id,False,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:145486/N,brocade url,False,,,,,,,,,,,,,,,
63d5c80c-db35-552f-b5d0-683a58ecfc67,tg:lhbr:145486,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""83ef4709-c8f6-5e03-908f-43acb976281b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e888808f-787a-4cc7-bb13-feb2f32078c5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
