ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:147486,record identifiers,https://data.letterenhuis.be/ark:/24970/6634e332-af4a-595e-b4c5-38652b3f0e7b,object identifier,Brieven,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6ad7e6dd-dc6d-470c-bcf2-da4a4f9f14c3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a31b199f-7c53-457c-a11f-a4403bcece35"", ""inverseOntologyProperty"": """"}]"
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,2053,In Copyright,
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19380202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1938-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000138954,referentienummer,False,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:147486,brocade id,False,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:147486/N,brocade url,False,,,,,,,,,,,,,,,
6634e332-af4a-595e-b4c5-38652b3f0e7b,tg:lhbr:147486,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fa48279c-fcac-51ef-aeeb-9657c80be463"", ""ontologyProperty"": """", ""resourceXresourceId"": ""41ad010f-7ef2-410e-a229-202ab99e8ce2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
