ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:292796,record identifiers,https://data.letterenhuis.be/ark:/24970/684be42a-fed1-5cdf-87b8-56dba0469140,object identifier,Brieven,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""44678c9d-8e5c-4715-bb35-8fe614dbb717"", ""ontologyProperty"": """", ""resourceXresourceId"": ""06300588-7c23-455d-b8cc-903bf52eddca"", ""inverseOntologyProperty"": """"}]"
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,2073,In Copyright,
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1958,,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000281251,referentienummer,False,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:292796,brocade id,False,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:292796/N,brocade url,False,,,,,,,,,,,,,,,
684be42a-fed1-5cdf-87b8-56dba0469140,tg:lhbr:292796,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f7397dde-01a8-57bd-8b55-1a61fea5d3e1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ad1e105f-fbe0-4908-a12d-3322a43752e7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
