ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:39536,record identifiers,https://data.letterenhuis.be/ark:/24970/686f32f5-fd80-58f2-a6c3-b98adf61cca7,object identifier,Brieven,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6754b704-0978-4ff1-892c-b6416fec17cd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""06bad0fe-730b-4c74-9753-8f05da43d2bc"", ""inverseOntologyProperty"": """"}]"
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.0,2045,In Copyright,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1930-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000038106,referentienummer,False,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:39536,brocade id,False,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:39536/N,brocade url,False,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""bd6a29cc-8a30-57f0-9085-bf2038367ea5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""37291508-dc36-440f-bc05-6ce38e4ab169"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_Titles,,,au::4796,,,,lhbr,lhbr,Brief,74d7b798-4b98-5434-867f-10b2b4581761,bs,,au::4796:1,au::4796g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/513172"",""au::4796"",""au::4796:1"",""ark:/83110/x0/74d7b798-4b98-5434-867f-10b2b4581761"",""Henri van Daele"",""ark:/83110/x0/bf704cc5-2700-5dd0-8ca0-703e8bfcdd2a""],""name"":""Henri van Daele"",""ark"":""ark:/83110/x0/bf704cc5-2700-5dd0-8ca0-703e8bfcdd2a"",""uri"":""/agents/people/513172"",""id"":""au::4796:1"",""resourceArk"":""ark:/83110/x0/74d7b798-4b98-5434-867f-10b2b4581761"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/74d7b798-4b98-5434-867f-10b2b4581761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686f32f5-fd80-58f2-a6c3-b98adf61cca7,tg:lhbr:39536,e73_Titles,,,au::17529,,,,lhbr,lhbr,Brief,fe92edb9-8ce8-5226-a030-f1927a4b70a0,co,,au::17529:1,au::17529g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1875603"",""au::17529"",""au::17529:1"",""ark:/83110/x0/fe92edb9-8ce8-5226-a030-f1927a4b70a0"",""Gustaaf Franciscus Steeghers"",""ark:/83110/x0/7bac7f95-aee4-532e-b27a-7e802038cbaa""],""name"":""Gustaaf Franciscus Steeghers"",""ark"":""ark:/83110/x0/7bac7f95-aee4-532e-b27a-7e802038cbaa"",""uri"":""/agents/people/1875603"",""id"":""au::17529:1"",""resourceArk"":""ark:/83110/x0/fe92edb9-8ce8-5226-a030-f1927a4b70a0"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fe92edb9-8ce8-5226-a030-f1927a4b70a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
