ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:12202,record identifiers,https://data.letterenhuis.be/ark:/24970/6c610837-a26b-5aef-a488-7ada49fcd975,object identifier,Brieven,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""50c576e4-fa15-44d9-b2c7-430382cfc0a5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f72aa7b8-37d6-46b6-86e5-2c68ead06e53"", ""inverseOntologyProperty"": """"}]"
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929.0,2044,In Copyright,
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1929-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000011580,referentienummer,False,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:12202,brocade id,False,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:12202/N,brocade url,False,,,,,,,,,,,,,,,
6c610837-a26b-5aef-a488-7ada49fcd975,tg:lhbr:12202,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""39590bdf-ea9c-5412-8a76-211444fb03b4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f55cf675-6e04-483a-aa18-6141b563d898"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
